t,o,h,l,c
2026-01-09 08:00:00+00:00,981006.0713999997,981013.8876,911292.7877999994,912327.9277999996
2026-01-09 09:00:00+00:00,912321.0645999996,949876.1199999996,912058.9571999997,949869.4373999991
2026-01-09 10:00:00+00:00,949869.4374,952209.6698,949224.5876,951548.2797999997
2026-01-09 11:00:00+00:00,951527.5031999999,957239.7562000003,951041.4018000001,956853.5265999996
2026-01-09 12:00:00+00:00,956856.7448,960516.2634000003,956856.7448,960341.0370000006
2026-01-09 13:00:00+00:00,960340.1432000002,967783.2640000004,958698.802,964289.8654000002
2026-01-09 14:00:00+00:00,964289.8654000002,968753.2879999996,963396.9338,964662.6688000001
2026-01-09 15:00:00+00:00,964662.6688000001,977718.5531999998,954259.2802000003,959961.2186000006
2026-01-09 16:00:00+00:00,959961.498,966691.9507999996,959476.9698000002,963261.8835999998
2026-01-09 17:00:00+00:00,963298.4667999998,963586.4736000001,960099.7191999999,963364.0261999998
2026-01-09 18:00:00+00:00,963333.3818000001,963460.8372000001,948598.7544000009,951413.8660000003
2026-01-09 19:00:00+00:00,951476.3578,954820.1487999998,950868.6781999998,954701.5654000001
2026-01-09 20:00:00+00:00,954700.9658,968653.3129999994,953611.5154000006,967949.2867999998
2026-01-09 21:00:00+00:00,967761.3232,973219.8870000001,967721.0440000001,968502.0570000004
2026-01-09 22:00:00+00:00,968502.0636,969925.6488000001,967694.3118000003,967859.1370000001
2026-01-09 23:00:00+00:00,967858.9596000001,968164.5946000001,967691.3490000002,967814.5016000004
2026-01-10 00:00:00+00:00,967814.5016000004,967852.5153999999,966958.6855999995,966963.0458000002
2026-01-10 01:00:00+00:00,966974.0898000001,967046.3801999998,966084.3773999998,966116.0245999995
2026-01-10 02:00:00+00:00,966116.0245999995,966131.8288000003,965296.6044,965658.2642000001
2026-01-10 03:00:00+00:00,965657.959,966361.7327999999,965276.0889999999,965484.0332000001
2026-01-10 04:00:00+00:00,965483.8535999999,965492.5959999997,961553.7885999999,961558.0307999998
2026-01-10 05:00:00+00:00,961536.6886,961551.8197999997,960996.0310000001,961333.7119999998
2026-01-10 06:00:00+00:00,961333.7119999998,961388.136,960785.1479999999,961372.1987999999
2026-01-10 07:00:00+00:00,961371.8952,961856.2932,952784.5228000002,952944.9142
2026-01-10 08:00:00+00:00,952946.8436,953029.4176000003,952921.4554,953028.6944000003
2026-01-10 09:00:00+00:00,953006.1066,954035.5936,952025.8602,953981.343
2026-01-10 10:00:00+00:00,953951.2875999999,954745.2002,953791.9238000003,954659.3399999999
2026-01-10 11:00:00+00:00,954662.2805999998,954715.4804000001,954388.9611999999,954418.7364
2026-01-10 12:00:00+00:00,954418.7364,954418.7364,951980.2434000004,952406.4666000003
2026-01-10 13:00:00+00:00,952406.4666000003,952546.4260000007,952149.3328,952199.7968
2026-01-10 14:00:00+00:00,952195.7576,952275.1923999998,950610.8768,950657.0763999999
2026-01-10 15:00:00+00:00,950650.4374,954093.6807999999,950532.0654,954093.6807999999
2026-01-10 16:00:00+00:00,954095.316,954357.6918,954063.3084,954128.993
2026-01-10 17:00:00+00:00,954133.7058,954520.9967999996,954130.0683999999,954281.2492000001
2026-01-10 18:00:00+00:00,954282.1166,954282.6465999999,953200.7058000001,953943.7243999996
2026-01-10 19:00:00+00:00,953954.2968,954029.2778,953679.8546,953784.6916000001
2026-01-10 20:00:00+00:00,953784.6916000001,953912.1013999993,953271.4997999999,953287.2158000005
2026-01-10 21:00:00+00:00,953287.2158000005,953312.5372,952727.8128000001,952744.9112000002
2026-01-10 22:00:00+00:00,952762.6084000003,952874.3171999997,950407.0073999999,951925.1792000004
2026-01-10 23:00:00+00:00,951925.1792000004,952531.4653999998,951750.0328,952390.0120000003
2026-01-11 00:00:00+00:00,952390.012,953321.6198000002,950884.9396,951365.9639999999
2026-01-11 01:00:00+00:00,951503.3948,958354.3496,951502.2959999999,958354.3496
2026-01-11 02:00:00+00:00,958354.3496,960637.0430000003,958354.3496,960602.5482
2026-01-11 03:00:00+00:00,960602.5482,960762.0116,960596.8696,960761.5687999999
2026-01-11 04:00:00+00:00,960794.1676,972243.3473999995,960794.1284,972232.6389999993
2026-01-11 05:00:00+00:00,972232.639,973493.2952,972232.639,973446.7354000001
2026-01-11 06:00:00+00:00,973446.7432000001,973446.7432000001,952810.073,952824.38
2026-01-11 07:00:00+00:00,952824.38,952829.267,952179.8035999999,952179.8035999999
2026-01-11 08:00:00+00:00,952130.788,952132.8977999999,950068.2996,950234.6103999998
2026-01-11 09:00:00+00:00,950234.5967999998,950237.2068000002,935229.5269999998,935229.5269999998
2026-01-11 10:00:00+00:00,935229.527,935229.527,934926.24,934977.8770000004
2026-01-11 11:00:00+00:00,934962.368,934962.4324,934533.8818,934671.7421999997
2026-01-11 12:00:00+00:00,934720.5978,937354.8294000004,934712.0736000004,937354.5780000003
2026-01-11 13:00:00+00:00,937354.2984,938468.1516,937283.0285999998,937535.133
2026-01-11 14:00:00+00:00,937525.6578,941469.3074000007,937432.4892000002,941451.9254000008
2026-01-11 15:00:00+00:00,941463.882,941511.8192,928109.1113999998,928146.4209999999
2026-01-11 16:00:00+00:00,928146.421,943385.1824000004,927294.3755999999,942980.8022
2026-01-11 17:00:00+00:00,942981.2724,943729.0298000001,941098.3702000004,942155.7992
2026-01-11 18:00:00+00:00,942151.7512,942281.453,940679.6270000004,941326.9852000006
2026-01-11 19:00:00+00:00,941326.822,941326.822,926820.8653999993,926821.7761999993
2026-01-11 20:00:00+00:00,926378.8347999993,926378.8347999993,920001.7736000002,925561.1427999998
2026-01-11 21:00:00+00:00,925561.1555999998,940119.5081999999,925531.8922,940079.0033999996
2026-01-11 22:00:00+00:00,940084.0864,944526.3005999998,937562.524,943851.3643999997
2026-01-11 23:00:00+00:00,943843.9905999999,951215.5413999999,939957.9667999994,950638.2370000001
2026-01-12 00:00:00+00:00,950638.237,952706.8090000001,944529.1994,945037.6845999997
2026-01-12 01:00:00+00:00,945044.4750000001,945528.5992,940293.6336000004,940838.8243999997
2026-01-12 02:00:00+00:00,940838.8243999997,948481.8468000002,940778.7768,947750.4632000014
2026-01-12 03:00:00+00:00,947737.6212,947910.5195999999,943620.3030000002,943975.6296000005
2026-01-12 04:00:00+00:00,943975.6296,954472.2298,943975.6296,954472.2298
2026-01-12 05:00:00+00:00,954511.4952,955908.5313999999,954343.4219999992,955561.3336
2026-01-12 06:00:00+00:00,955587.1260000002,961638.3075999998,955022.0828000004,961064.2187999993
2026-01-12 07:00:00+00:00,961053.7158,961053.7234,948126.2814000003,948126.6400000002
2026-01-12 08:00:00+00:00,948135.3086,950998.1137999997,946089.6664,950911.4184000005
